pick,round,team_key,player_key,game_id,league_id
1,1,406.l.103661.t.5,406.p.30121,406,103661
2,1,406.l.103661.t.8,406.p.30154,406,103661
3,1,406.l.103661.t.6,406.p.29279,406,103661
4,1,406.l.103661.t.9,406.p.30180,406,103661
5,1,406.l.103661.t.3,406.p.31005,406,103661
6,1,406.l.103661.t.4,406.p.30295,406,103661
7,1,406.l.103661.t.7,406.p.29238,406,103661
8,1,406.l.103661.t.2,406.p.32711,406,103661
9,1,406.l.103661.t.10,406.p.27581,406,103661
10,1,406.l.103661.t.1,406.p.30423,406,103661
11,2,406.l.103661.t.1,406.p.26686,406,103661
12,2,406.l.103661.t.10,406.p.30972,406,103661
13,2,406.l.103661.t.2,406.p.32736,406,103661
14,2,406.l.103661.t.7,406.p.33412,406,103661
15,2,406.l.103661.t.4,406.p.29399,406,103661
16,2,406.l.103661.t.3,406.p.28534,406,103661
17,2,406.l.103661.t.9,406.p.30161,406,103661
18,2,406.l.103661.t.6,406.p.28592,406,103661
19,2,406.l.103661.t.8,406.p.30996,406,103661
20,2,406.l.103661.t.5,406.p.31896,406,103661
21,3,406.l.103661.t.5,406.p.26650,406,103661
22,3,406.l.103661.t.8,406.p.32702,406,103661
23,3,406.l.103661.t.6,406.p.30977,406,103661
24,3,406.l.103661.t.9,406.p.31883,406,103661
25,3,406.l.103661.t.3,406.p.31908,406,103661
26,3,406.l.103661.t.4,406.p.32692,406,103661
27,3,406.l.103661.t.7,406.p.27589,406,103661
28,3,406.l.103661.t.2,406.p.31905,406,103661
29,3,406.l.103661.t.10,406.p.26699,406,103661
30,3,406.l.103661.t.1,406.p.32687,406,103661
31,4,406.l.103661.t.1,406.p.33138,406,103661
32,4,406.l.103661.t.10,406.p.32705,406,103661
33,4,406.l.103661.t.2,406.p.30259,406,103661
34,4,406.l.103661.t.7,406.p.30182,406,103661
35,4,406.l.103661.t.4,406.p.30123,406,103661
36,4,406.l.103661.t.3,406.p.30362,406,103661
37,4,406.l.103661.t.9,406.p.27535,406,103661
38,4,406.l.103661.t.6,406.p.28457,406,103661
39,4,406.l.103661.t.8,406.p.28392,406,103661
40,4,406.l.103661.t.5,406.p.31424,406,103661
41,5,406.l.103661.t.5,406.p.31856,406,103661
42,5,406.l.103661.t.8,406.p.30197,406,103661
43,5,406.l.103661.t.6,406.p.32066,406,103661
44,5,406.l.103661.t.9,406.p.31885,406,103661
45,5,406.l.103661.t.3,406.p.26664,406,103661
46,5,406.l.103661.t.4,406.p.31902,406,103661
47,5,406.l.103661.t.7,406.p.31919,406,103661
48,5,406.l.103661.t.2,406.p.29369,406,103661
49,5,406.l.103661.t.10,406.p.31002,406,103661
50,5,406.l.103661.t.1,406.p.30994,406,103661
51,6,406.l.103661.t.1,406.p.24793,406,103661
52,6,406.l.103661.t.10,406.p.31056,406,103661
53,6,406.l.103661.t.2,406.p.27277,406,103661
54,6,406.l.103661.t.7,406.p.31833,406,103661
55,6,406.l.103661.t.4,406.p.33392,406,103661
56,6,406.l.103661.t.3,406.p.30199,406,103661
57,6,406.l.103661.t.9,406.p.27548,406,103661
58,6,406.l.103661.t.6,406.p.31898,406,103661
59,6,406.l.103661.t.8,406.p.33423,406,103661
60,6,406.l.103661.t.5,406.p.31840,406,103661
61,7,406.l.103661.t.5,406.p.25785,406,103661
62,7,406.l.103661.t.8,406.p.32695,406,103661
63,7,406.l.103661.t.6,406.p.32685,406,103661
64,7,406.l.103661.t.9,406.p.28514,406,103661
65,7,406.l.103661.t.3,406.p.32703,406,103661
66,7,406.l.103661.t.4,406.p.33476,406,103661
67,7,406.l.103661.t.7,406.p.32719,406,103661
68,7,406.l.103661.t.2,406.p.29288,406,103661
69,7,406.l.103661.t.10,406.p.28403,406,103661
70,7,406.l.103661.t.1,406.p.31104,406,103661
71,8,406.l.103661.t.1,406.p.5228,406,103661
72,8,406.l.103661.t.10,406.p.29281,406,103661
73,8,406.l.103661.t.2,406.p.27540,406,103661
74,8,406.l.103661.t.7,406.p.28654,406,103661
75,8,406.l.103661.t.4,406.p.29785,406,103661
76,8,406.l.103661.t.3,406.p.31008,406,103661
77,8,406.l.103661.t.9,406.p.27648,406,103661
78,8,406.l.103661.t.6,406.p.31868,406,103661
79,8,406.l.103661.t.8,406.p.7200,406,103661
80,8,406.l.103661.t.5,406.p.30175,406,103661
81,9,406.l.103661.t.5,406.p.32732,406,103661
82,9,406.l.103661.t.8,406.p.30777,406,103661
83,9,406.l.103661.t.6,406.p.24171,406,103661
84,9,406.l.103661.t.9,406.p.32676,406,103661
85,9,406.l.103661.t.3,406.p.29344,406,103661
86,9,406.l.103661.t.4,406.p.31010,406,103661
87,9,406.l.103661.t.7,406.p.33393,406,103661
88,9,406.l.103661.t.2,406.p.30218,406,103661
89,9,406.l.103661.t.10,406.p.30209,406,103661
90,9,406.l.103661.t.1,406.p.30118,406,103661
91,10,406.l.103661.t.1,406.p.31001,406,103661
92,10,406.l.103661.t.10,406.p.31960,406,103661
93,10,406.l.103661.t.2,406.p.33398,406,103661
94,10,406.l.103661.t.7,406.p.31852,406,103661
95,10,406.l.103661.t.4,406.p.30117,406,103661
96,10,406.l.103661.t.3,406.p.33495,406,103661
97,10,406.l.103661.t.9,406.p.31031,406,103661
98,10,406.l.103661.t.6,406.p.25876,406,103661
99,10,406.l.103661.t.8,406.p.29307,406,103661
100,10,406.l.103661.t.5,406.p.32723,406,103661
101,11,406.l.103661.t.5,406.p.31051,406,103661
102,11,406.l.103661.t.8,406.p.32704,406,103661
103,11,406.l.103661.t.6,406.p.28691,406,103661
104,11,406.l.103661.t.9,406.p.30247,406,103661
105,11,406.l.103661.t.3,406.p.9265,406,103661
106,11,406.l.103661.t.4,406.p.33109,406,103661
107,11,406.l.103661.t.7,406.p.32712,406,103661
108,11,406.l.103661.t.2,406.p.28461,406,103661
109,11,406.l.103661.t.10,406.p.32756,406,103661
110,11,406.l.103661.t.1,406.p.27591,406,103661
111,12,406.l.103661.t.1,406.p.30153,406,103661
112,12,406.l.103661.t.10,406.p.33394,406,103661
113,12,406.l.103661.t.2,406.p.31164,406,103661
114,12,406.l.103661.t.7,406.p.30213,406,103661
115,12,406.l.103661.t.4,406.p.26534,406,103661
116,12,406.l.103661.t.3,406.p.25718,406,103661
117,12,406.l.103661.t.9,406.p.31906,406,103661
118,12,406.l.103661.t.6,406.p.30346,406,103661
119,12,406.l.103661.t.8,406.p.31019,406,103661
120,12,406.l.103661.t.5,406.p.25881,406,103661
121,13,406.l.103661.t.5,406.p.9353,406,103661
122,13,406.l.103661.t.8,406.p.100014,406,103661
123,13,406.l.103661.t.6,406.p.100033,406,103661
124,13,406.l.103661.t.9,406.p.100023,406,103661
125,13,406.l.103661.t.3,406.p.100027,406,103661
126,13,406.l.103661.t.4,406.p.31934,406,103661
127,13,406.l.103661.t.7,406.p.100025,406,103661
128,13,406.l.103661.t.2,406.p.100007,406,103661
129,13,406.l.103661.t.10,406.p.33006,406,103661
130,13,406.l.103661.t.1,406.p.33391,406,103661
131,14,406.l.103661.t.1,406.p.100028,406,103661
132,14,406.l.103661.t.10,406.p.33508,406,103661
133,14,406.l.103661.t.2,406.p.9520,406,103661
134,14,406.l.103661.t.7,406.p.32231,406,103661
135,14,406.l.103661.t.4,406.p.29255,406,103661
136,14,406.l.103661.t.3,406.p.30120,406,103661
137,14,406.l.103661.t.9,406.p.30426,406,103661
138,14,406.l.103661.t.6,406.p.26060,406,103661
139,14,406.l.103661.t.8,406.p.32843,406,103661
140,14,406.l.103661.t.5,406.p.100017,406,103661
141,15,406.l.103661.t.5,406.p.31074,406,103661
142,15,406.l.103661.t.8,406.p.32858,406,103661
143,15,406.l.103661.t.6,406.p.26660,406,103661
144,15,406.l.103661.t.9,406.p.32682,406,103661
145,15,406.l.103661.t.3,406.p.29315,406,103661
146,15,406.l.103661.t.4,406.p.28474,406,103661
147,15,406.l.103661.t.7,406.p.33211,406,103661
148,15,406.l.103661.t.2,406.p.31857,406,103661
149,15,406.l.103661.t.10,406.p.32018,406,103661
150,15,406.l.103661.t.1,406.p.7520,406,103661
1,1,399.l.12514.t.6,399.p.30121,399,12514
2,1,399.l.12514.t.3,399.p.30972,399,12514
3,1,399.l.12514.t.8,399.p.29238,399,12514
4,1,399.l.12514.t.4,399.p.29279,399,12514
5,1,399.l.12514.t.2,399.p.32702,399,12514
6,1,399.l.12514.t.10,399.p.29281,399,12514
7,1,399.l.12514.t.7,399.p.30180,399,12514
8,1,399.l.12514.t.1,399.p.27581,399,12514
9,1,399.l.12514.t.9,399.p.30154,399,12514
10,1,399.l.12514.t.5,399.p.29307,399,12514
11,2,399.l.12514.t.5,399.p.31856,399,12514
12,2,399.l.12514.t.9,399.p.24793,399,12514
13,2,399.l.12514.t.1,399.p.31885,399,12514
14,2,399.l.12514.t.7,399.p.30161,399,12514
15,2,399.l.12514.t.10,399.p.31005,399,12514
16,2,399.l.12514.t.2,399.p.30423,399,12514
17,2,399.l.12514.t.4,399.p.26650,399,12514
18,2,399.l.12514.t.8,399.p.31002,399,12514
19,2,399.l.12514.t.3,399.p.26686,399,12514
20,2,399.l.12514.t.6,399.p.30295,399,12514
21,3,399.l.12514.t.6,399.p.29399,399,12514
22,3,399.l.12514.t.3,399.p.30197,399,12514
23,3,399.l.12514.t.8,399.p.30218,399,12514
24,3,399.l.12514.t.4,399.p.30362,399,12514
25,3,399.l.12514.t.2,399.p.30259,399,12514
26,3,399.l.12514.t.10,399.p.28398,399,12514
27,3,399.l.12514.t.7,399.p.30123,399,12514
28,3,399.l.12514.t.1,399.p.30209,399,12514
29,3,399.l.12514.t.9,399.p.27277,399,12514
30,3,399.l.12514.t.5,399.p.27589,399,12514
31,4,399.l.12514.t.5,399.p.31908,399,12514
32,4,399.l.12514.t.9,399.p.27535,399,12514
33,4,399.l.12514.t.1,399.p.24815,399,12514
34,4,399.l.12514.t.7,399.p.30994,399,12514
35,4,399.l.12514.t.10,399.p.30175,399,12514
36,4,399.l.12514.t.2,399.p.27540,399,12514
37,4,399.l.12514.t.4,399.p.28474,399,12514
38,4,399.l.12514.t.8,399.p.32711,399,12514
39,4,399.l.12514.t.3,399.p.30996,399,12514
40,4,399.l.12514.t.6,399.p.28392,399,12514
41,5,399.l.12514.t.6,399.p.31896,399,12514
42,5,399.l.12514.t.3,399.p.28654,399,12514
43,5,399.l.12514.t.8,399.p.28457,399,12514
44,5,399.l.12514.t.4,399.p.31010,399,12514
45,5,399.l.12514.t.2,399.p.30182,399,12514
46,5,399.l.12514.t.10,399.p.31905,399,12514
47,5,399.l.12514.t.7,399.p.31883,399,12514
48,5,399.l.12514.t.1,399.p.31031,399,12514
49,5,399.l.12514.t.9,399.p.31056,399,12514
50,5,399.l.12514.t.5,399.p.26671,399,12514
51,6,399.l.12514.t.5,399.p.30199,399,12514
52,6,399.l.12514.t.9,399.p.29369,399,12514
53,6,399.l.12514.t.1,399.p.32705,399,12514
54,6,399.l.12514.t.7,399.p.26664,399,12514
55,6,399.l.12514.t.10,399.p.25785,399,12514
56,6,399.l.12514.t.2,399.p.28403,399,12514
57,6,399.l.12514.t.4,399.p.31008,399,12514
58,6,399.l.12514.t.8,399.p.26658,399,12514
59,6,399.l.12514.t.3,399.p.31906,399,12514
60,6,399.l.12514.t.6,399.p.31833,399,12514
61,7,399.l.12514.t.6,399.p.32722,399,12514
62,7,399.l.12514.t.3,399.p.31051,399,12514
63,7,399.l.12514.t.8,399.p.26699,399,12514
64,7,399.l.12514.t.4,399.p.28534,399,12514
65,7,399.l.12514.t.2,399.p.25802,399,12514
66,7,399.l.12514.t.10,399.p.30136,399,12514
67,7,399.l.12514.t.7,399.p.24791,399,12514
68,7,399.l.12514.t.1,399.p.32725,399,12514
69,7,399.l.12514.t.9,399.p.28402,399,12514
70,7,399.l.12514.t.5,399.p.31857,399,12514
71,8,399.l.12514.t.5,399.p.29288,399,12514
72,8,399.l.12514.t.9,399.p.26534,399,12514
73,8,399.l.12514.t.1,399.p.29255,399,12514
74,8,399.l.12514.t.7,399.p.30117,399,12514
75,8,399.l.12514.t.10,399.p.30125,399,12514
76,8,399.l.12514.t.2,399.p.31934,399,12514
77,8,399.l.12514.t.4,399.p.5479,399,12514
78,8,399.l.12514.t.8,399.p.9496,399,12514
79,8,399.l.12514.t.3,399.p.28592,399,12514
80,8,399.l.12514.t.6,399.p.27591,399,12514
81,9,399.l.12514.t.6,399.p.29344,399,12514
82,9,399.l.12514.t.3,399.p.31001,399,12514
83,9,399.l.12514.t.8,399.p.30346,399,12514
84,9,399.l.12514.t.4,399.p.29384,399,12514
85,9,399.l.12514.t.2,399.p.8780,399,12514
86,9,399.l.12514.t.10,399.p.25876,399,12514
87,9,399.l.12514.t.7,399.p.29269,399,12514
88,9,399.l.12514.t.1,399.p.31898,399,12514
89,9,399.l.12514.t.9,399.p.32756,399,12514
90,9,399.l.12514.t.5,399.p.32736,399,12514
91,10,399.l.12514.t.5,399.p.26804,399,12514
92,10,399.l.12514.t.9,399.p.8261,399,12514
93,10,399.l.12514.t.1,399.p.30256,399,12514
94,10,399.l.12514.t.7,399.p.30552,399,12514
95,10,399.l.12514.t.10,399.p.24017,399,12514
96,10,399.l.12514.t.2,399.p.30232,399,12514
97,10,399.l.12514.t.4,399.p.29274,399,12514
98,10,399.l.12514.t.8,399.p.28493,399,12514
99,10,399.l.12514.t.3,399.p.100025,399,12514
100,10,399.l.12514.t.6,399.p.32687,399,12514
101,11,399.l.12514.t.6,399.p.31902,399,12514
102,11,399.l.12514.t.3,399.p.31379,399,12514
103,11,399.l.12514.t.8,399.p.27548,399,12514
104,11,399.l.12514.t.4,399.p.24057,399,12514
105,11,399.l.12514.t.2,399.p.31104,399,12514
106,11,399.l.12514.t.10,399.p.30153,399,12514
107,11,399.l.12514.t.7,399.p.100033,399,12514
108,11,399.l.12514.t.1,399.p.31852,399,12514
109,11,399.l.12514.t.9,399.p.31013,399,12514
110,11,399.l.12514.t.5,399.p.31021,399,12514
111,12,399.l.12514.t.5,399.p.30977,399,12514
112,12,399.l.12514.t.9,399.p.100002,399,12514
113,12,399.l.12514.t.1,399.p.24788,399,12514
114,12,399.l.12514.t.7,399.p.31868,399,12514
115,12,399.l.12514.t.10,399.p.31074,399,12514
116,12,399.l.12514.t.2,399.p.27619,399,12514
117,12,399.l.12514.t.4,399.p.100023,399,12514
118,12,399.l.12514.t.8,399.p.31919,399,12514
119,12,399.l.12514.t.3,399.p.28461,399,12514
120,12,399.l.12514.t.6,399.p.7200,399,12514
121,13,399.l.12514.t.6,399.p.100003,399,12514
122,13,399.l.12514.t.3,399.p.31888,399,12514
123,13,399.l.12514.t.8,399.p.31012,399,12514
124,13,399.l.12514.t.4,399.p.28465,399,12514
125,13,399.l.12514.t.2,399.p.29754,399,12514
126,13,399.l.12514.t.10,399.p.25881,399,12514
127,13,399.l.12514.t.7,399.p.31017,399,12514
128,13,399.l.12514.t.1,399.p.27658,399,12514
129,13,399.l.12514.t.9,399.p.5228,399,12514
130,13,399.l.12514.t.5,399.p.30995,399,12514
131,14,399.l.12514.t.5,399.p.7520,399,12514
132,14,399.l.12514.t.9,399.p.31268,399,12514
133,14,399.l.12514.t.1,399.p.100007,399,12514
134,14,399.l.12514.t.7,399.p.29236,399,12514
135,14,399.l.12514.t.10,399.p.100017,399,12514
136,14,399.l.12514.t.2,399.p.32732,399,12514
137,14,399.l.12514.t.4,399.p.27299,399,12514
138,14,399.l.12514.t.8,399.p.31972,399,12514
139,14,399.l.12514.t.3,399.p.9265,399,12514
140,14,399.l.12514.t.6,399.p.30337,399,12514
141,15,399.l.12514.t.6,399.p.9317,399,12514
142,15,399.l.12514.t.3,399.p.8565,399,12514
143,15,399.l.12514.t.8,399.p.27624,399,12514
144,15,399.l.12514.t.4,399.p.25427,399,12514
145,15,399.l.12514.t.2,399.p.100011,399,12514
146,15,399.l.12514.t.10,399.p.32746,399,12514
147,15,399.l.12514.t.7,399.p.30426,399,12514
148,15,399.l.12514.t.1,399.p.8826,399,12514
149,15,399.l.12514.t.9,399.p.27585,399,12514
150,15,399.l.12514.t.5,399.p.100021,399,12514
1,1,380.l.236583.t.1,380.p.28398,380,236583
2,1,380.l.236583.t.9,380.p.29238,380,236583
3,1,380.l.236583.t.5,380.p.26671,380,236583
4,1,380.l.236583.t.6,380.p.28474,380,236583
5,1,380.l.236583.t.8,380.p.24171,380,236583
6,1,380.l.236583.t.4,380.p.30180,380,236583
7,1,380.l.236583.t.2,380.p.26650,380,236583
8,1,380.l.236583.t.10,380.p.30972,380,236583
9,1,380.l.236583.t.7,380.p.30199,380,236583
10,1,380.l.236583.t.3,380.p.27540,380,236583
11,2,380.l.236583.t.3,380.p.28403,380,236583
12,2,380.l.236583.t.7,380.p.30117,380,236583
13,2,380.l.236583.t.10,380.p.24793,380,236583
14,2,380.l.236583.t.2,380.p.29281,380,236583
15,2,380.l.236583.t.4,380.p.27581,380,236583
16,2,380.l.236583.t.8,380.p.26699,380,236583
17,2,380.l.236583.t.6,380.p.30154,380,236583
18,2,380.l.236583.t.5,380.p.24017,380,236583
1,1,390.l.215172.t.7,390.p.30972,390,215172
2,1,390.l.215172.t.3,390.p.30180,390,215172
3,1,390.l.215172.t.4,390.p.30121,390,215172
4,1,390.l.215172.t.6,390.p.29238,390,215172
5,1,390.l.215172.t.9,390.p.28474,390,215172
6,1,390.l.215172.t.10,390.p.26650,390,215172
7,1,390.l.215172.t.1,390.p.31005,390,215172
8,1,390.l.215172.t.5,390.p.30218,390,215172
9,1,390.l.215172.t.2,390.p.27581,390,215172
10,1,390.l.215172.t.8,390.p.30154,390,215172
11,2,390.l.215172.t.8,390.p.30175,390,215172
12,2,390.l.215172.t.2,390.p.24793,390,215172
13,2,390.l.215172.t.5,390.p.29281,390,215172
14,2,390.l.215172.t.1,390.p.26671,390,215172
15,2,390.l.215172.t.10,390.p.26686,390,215172
16,2,390.l.215172.t.9,390.p.28398,390,215172
17,2,390.l.215172.t.6,390.p.29399,390,215172
18,2,390.l.215172.t.4,390.p.30161,390,215172
19,2,390.l.215172.t.3,390.p.27540,390,215172
20,2,390.l.215172.t.7,390.p.24171,390,215172
21,3,390.l.215172.t.7,390.p.30123,390,215172
22,3,390.l.215172.t.3,390.p.30295,390,215172
23,3,390.l.215172.t.4,390.p.30259,390,215172
24,3,390.l.215172.t.6,390.p.31013,390,215172
25,3,390.l.215172.t.9,390.p.27535,390,215172
26,3,390.l.215172.t.10,390.p.27631,390,215172
27,3,390.l.215172.t.1,390.p.26699,390,215172
28,3,390.l.215172.t.5,390.p.26658,390,215172
29,3,390.l.215172.t.2,390.p.28115,390,215172
30,3,390.l.215172.t.8,390.p.30117,390,215172
31,4,390.l.215172.t.8,390.p.28534,390,215172
32,4,390.l.215172.t.2,390.p.9496,390,215172
33,4,390.l.215172.t.5,390.p.28392,390,215172
34,4,390.l.215172.t.1,390.p.26664,390,215172
35,4,390.l.215172.t.10,390.p.31905,390,215172
36,4,390.l.215172.t.9,390.p.27277,390,215172
37,4,390.l.215172.t.6,390.p.31856,390,215172
38,4,390.l.215172.t.4,390.p.30362,390,215172
39,4,390.l.215172.t.3,390.p.30197,390,215172
40,4,390.l.215172.t.7,390.p.27548,390,215172
41,5,390.l.215172.t.7,390.p.29269,390,215172
42,5,390.l.215172.t.3,390.p.29279,390,215172
43,5,390.l.215172.t.4,390.p.31001,390,215172
44,5,390.l.215172.t.6,390.p.25802,390,215172
45,5,390.l.215172.t.9,390.p.30256,390,215172
46,5,390.l.215172.t.10,390.p.24815,390,215172
47,5,390.l.215172.t.1,390.p.28457,390,215172
48,5,390.l.215172.t.5,390.p.30125,390,215172
49,5,390.l.215172.t.2,390.p.30209,390,215172
50,5,390.l.215172.t.8,390.p.7200,390,215172
51,6,390.l.215172.t.8,390.p.30120,390,215172
52,6,390.l.215172.t.2,390.p.30132,390,215172
53,6,390.l.215172.t.5,390.p.28403,390,215172
54,6,390.l.215172.t.1,390.p.31885,390,215172
55,6,390.l.215172.t.10,390.p.29288,390,215172
56,6,390.l.215172.t.9,390.p.31379,390,215172
57,6,390.l.215172.t.6,390.p.30182,390,215172
58,6,390.l.215172.t.4,390.p.27589,390,215172
59,6,390.l.215172.t.3,390.p.28465,390,215172
60,6,390.l.215172.t.7,390.p.30996,390,215172
61,7,390.l.215172.t.7,390.p.31041,390,215172
62,7,390.l.215172.t.3,390.p.30971,390,215172
63,7,390.l.215172.t.4,390.p.26561,390,215172
64,7,390.l.215172.t.6,390.p.27658,390,215172
65,7,390.l.215172.t.9,390.p.9353,390,215172
66,7,390.l.215172.t.10,390.p.30136,390,215172
67,7,390.l.215172.t.1,390.p.28461,390,215172
68,7,390.l.215172.t.5,390.p.31017,390,215172
69,7,390.l.215172.t.2,390.p.30232,390,215172
70,7,390.l.215172.t.8,390.p.29307,390,215172
71,8,390.l.215172.t.8,390.p.27591,390,215172
72,8,390.l.215172.t.2,390.p.30423,390,215172
73,8,390.l.215172.t.5,390.p.30994,390,215172
74,8,390.l.215172.t.1,390.p.29785,390,215172
75,8,390.l.215172.t.10,390.p.29255,390,215172
76,8,390.l.215172.t.9,390.p.8780,390,215172
